Iter. Eval.  Best      Time m:s
0     12     -1.11e+10   0:00.6
1     24     -1.11e+10   0:00.9
2     36     -1.11e+10   0:01.2
3     48     -1.11e+10   0:01.5
20    252    -1.11e+10   0:05.6
40    492    -1.1e+10    0:10.6
60    732    -1.08e+10   0:16.1
80    972    -1.08e+10   0:21.7
100   1212   -1.07e+10   0:26.8
120   1452   -1.07e+10   0:32.3
140   1692   -1.07e+10   0:37.6
160   1932   -1.07e+10   0:42.6
180   2172   -1.07e+10   0:47.6
200   2412   -1.07e+10   0:52.5
220   2652   -1.06e+10   0:57.8
240   2892   -1e+10      1:03.6
260   3132   -7.5e+09    1:09.2
280   3372   -5.7e+09    1:14.3
300   3612   -4.15e+09   1:19.0
320   3852   -3.74e+09   1:24.5
340   4092   -3.55e+09   1:29.9
360   4332   -3.47e+09   1:34.9
380   4572   -3.43e+09   1:40.2
400   4812   -3.39e+09   1:44.9
420   5052   -3.33e+09   1:50.1
440   5292   -3.25e+09   1:55.5
460   5532   -3.12e+09   2:00.8
480   5772   -3.03e+09   2:05.8
500   6012   -2.6e+09    2:12.0
520   6252   -1.95e+09   2:17.9
540   6492   -5.54e+08   2:22.8
560   6732   -4.77e+08   2:27.3
580   6972   -4.3e+08    2:31.9
600   7212   -4.06e+08   2:36.6
620   7452   -3.77e+08   2:41.9
640   7692   -2.97e+08   2:46.4
660   7932   -2.42e+08   2:51.3
680   8172   -2.27e+08   2:56.4
700   8412   -2.21e+08   3:01.4
720   8652   -2.18e+08   3:08.3
740   8892   -2.15e+08   3:13.6
760   9132   -2.13e+08   3:18.5
780   9372   -2.11e+08   3:23.1
800   9612   -2.07e+08   3:28.1
820   9852   -1.99e+08   3:32.6
840   10092  -1.89e+08   3:37.2
860   10332  -1.81e+08   3:41.9
880   10572  -1.77e+08   3:47.1
900   10812  -1.73e+08   3:52.7
920   11052  -1.67e+08   3:57.3
940   11292  -1.59e+08   4:02.0
960   11532  -1.52e+08   4:06.6
980   11772  -1.35e+08   4:11.4
1000  12012  -1.2e+08    4:17.9
1020  12252  -1.07e+08   4:24.1
1040  12492  -9.02e+07   4:29.6
1060  12732  -8.46e+07   4:35.0
1080  12972  -8.19e+07   4:39.7
1100  13212  -8.13e+07   4:44.5
1120  13452  -8.11e+07   4:49.5
1140  13692  -8.09e+07   4:54.2
1160  13932  -8.05e+07   4:59.0
1180  14172  -7.9e+07    5:04.0
1200  14412  -7.69e+07   5:08.8
1220  14652  -7.64e+07   5:13.8
1240  14892  -7.64e+07   5:19.8
1260  15132  -7.63e+07   5:25.2
1280  15372  -7.63e+07   5:30.7
1300  15612  -7.63e+07   5:35.9
1320  15852  -7.63e+07   5:40.7
1340  16092  -7.63e+07   5:45.6
1360  16332  -7.63e+07   5:50.9
1380  16572  -7.63e+07   5:56.1
1400  16812  -7.63e+07   6:01.4
1420  17052  -7.63e+07   6:07.0
1440  17292  -7.63e+07   6:12.4
1460  17532  -7.63e+07   6:17.1
1480  17772  -7.63e+07   6:21.8
1500  18012  -7.63e+07   6:28.8
1520  18252  -7.63e+07   6:34.5
1540  18492  -7.63e+07   6:40.1
1560  18732  -7.63e+07   6:45.8
1580  18972  -7.63e+07   6:50.7
1600  19212  -7.63e+07   6:56.7
1620  19452  -7.63e+07   7:02.4
1640  19692  -7.63e+07   7:07.4
1660  19932  -7.63e+07   7:12.3
1680  20172  -7.63e+07   7:17.1
1700  20412  -7.63e+07   7:21.9
1720  20652  -7.63e+07   7:26.7
1740  20892  -7.63e+07   7:31.5
1760  21132  -7.63e+07   7:36.4
1780  21372  -7.63e+07   7:41.1
1800  21612  -7.63e+07   7:46.0
1820  21852  -7.63e+07   7:51.2
1838  22056  -7.63e+07   7:55.2
