Iter. Eval.  Best      Time m:s
0     12     -1.79e+08   0:01.0
1     24     -1.79e+08   0:01.3
2     36     -1.79e+08   0:01.5
3     48     -1.79e+08   0:01.8
20    252    -1.78e+08   0:06.8
40    492    -1.64e+08   0:13.5
60    732    -1.14e+08   0:19.5
80    972    -1.04e+08   0:25.8
100   1212   -1.02e+08   0:31.9
120   1452   -1.02e+08   0:38.4
140   1692   -1.02e+08   0:45.1
160   1932   -1.02e+08   0:51.3
180   2172   -1.01e+08   0:57.5
200   2412   -9.82e+07   1:04.0
220   2652   -9.21e+07   1:10.5
240   2892   -8.7e+07    1:16.5
260   3132   -8.67e+07   1:22.8
280   3372   -8.65e+07   1:29.3
300   3612   -8.61e+07   1:35.9
320   3852   -8.48e+07   1:42.2
340   4092   -8.29e+07   1:48.2
360   4332   -8.24e+07   1:54.4
380   4572   -8.22e+07   2:00.6
400   4812   -8.19e+07   2:06.8
420   5052   -8.1e+07    2:13.0
440   5292   -7.95e+07   2:18.7
460   5532   -7.64e+07   2:24.8
480   5772   -7.4e+07    2:31.0
500   6012   -7.31e+07   2:38.5
520   6252   -7.25e+07   2:47.1
540   6492   -7.18e+07   2:53.8
560   6732   -7.07e+07   3:00.1
580   6972   -7.03e+07   3:06.5
600   7212   -7.02e+07   3:12.7
620   7452   -7.02e+07   3:18.7
640   7692   -7.02e+07   3:25.1
660   7932   -7.02e+07   3:31.1
680   8172   -7.01e+07   3:37.3
700   8412   -7.01e+07   3:43.7
720   8652   -7.01e+07   3:50.0
740   8892   -7e+07      3:56.2
760   9132   -7e+07      4:02.1
780   9372   -7e+07      4:07.9
800   9612   -7e+07      4:13.8
820   9852   -7e+07      4:19.6
840   10092  -7e+07      4:25.9
860   10332  -7e+07      4:31.7
880   10572  -7e+07      4:38.2
900   10812  -7e+07      4:44.7
920   11052  -7e+07      4:50.9
940   11292  -7e+07      4:57.1
960   11532  -7e+07      5:05.2
980   11772  -7e+07      5:12.5
1000  12012  -7e+07      5:20.4
1020  12252  -7e+07      5:28.2
1040  12492  -7e+07      5:34.6
1060  12732  -7e+07      5:41.0
1080  12972  -7e+07      5:47.1
1100  13212  -7e+07      5:53.5
1120  13452  -7e+07      5:59.8
1140  13692  -7e+07      6:05.8
1160  13932  -7e+07      6:12.0
1180  14172  -7e+07      6:18.2
1200  14412  -7e+07      6:24.8
1220  14652  -7e+07      6:31.7
1227  14724  -7e+07      6:34.0
