Iter. Eval.  Best      Time m:s
0     12     -1.58e+13   0:00.7
1     24     -1.57e+13   0:01.0
2     36     -1.57e+13   0:01.3
3     48     -1.55e+13   0:01.6
20    252    -1.27e+13   0:06.0
40    492    -7.42e+12   0:10.8
60    732    -6.57e+12   0:15.2
80    972    -4.37e+12   0:19.9
100   1212   -1.78e+11   0:25.2
120   1452   -1.82e+09   0:29.8
140   1692   -1.57e+09   0:34.7
160   1932   -1.48e+09   0:39.8
180   2172   -1.14e+09   0:44.9
200   2412   -1.01e+09   0:50.3
220   2652   -9.74e+08   0:55.3
240   2892   -9.59e+08   1:00.4
260   3132   -9.44e+08   1:06.0
280   3372   -9.38e+08   1:11.0
300   3612   -9.29e+08   1:15.8
320   3852   -9.27e+08   1:20.6
340   4092   -9.24e+08   1:25.5
360   4332   -9.21e+08   1:30.5
380   4572   -9.2e+08    1:35.1
400   4812   -9.19e+08   1:39.7
420   5052   -9.17e+08   1:44.3
440   5292   -9.1e+08    1:49.5
460   5532   -9.05e+08   1:55.1
480   5772   -9.05e+08   2:00.4
500   6012   -9.05e+08   2:05.6
520   6252   -9.05e+08   2:10.8
540   6492   -9.04e+08   2:16.1
560   6732   -9.04e+08   2:20.5
580   6972   -9.02e+08   2:24.9
600   7212   -8.92e+08   2:29.5
620   7452   -8.85e+08   2:34.9
640   7692   -8.82e+08   2:40.2
660   7932   -8.81e+08   2:45.3
680   8172   -8.77e+08   2:50.3
700   8412   -8.72e+08   2:55.5
720   8652   -8.68e+08   3:00.4
740   8892   -8.65e+08   3:05.3
760   9132   -8.5e+08    3:10.0
780   9372   -7.09e+08   3:15.1
800   9612   -3.5e+08    3:20.0
820   9852   -2.78e+08   3:25.0
840   10092  -2.21e+08   3:30.2
860   10332  -1.61e+08   3:35.4
880   10572  -1.26e+08   3:40.5
900   10812  -1.13e+08   3:45.6
920   11052  -1.09e+08   3:51.0
940   11292  -9.73e+07   3:56.5
960   11532  -9.16e+07   4:01.9
980   11772  -8.25e+07   4:07.8
1000  12012  -8.14e+07   4:14.0
1020  12252  -7.82e+07   4:19.5
