Iter. Eval.  Best      Time m:s
0     11     -3.17e+12   0:00.6
1     22     -3.07e+12   0:00.9
2     33     -2.94e+12   0:01.2
3     44     -2.87e+12   0:01.4
20    231    -3.6e+11    0:05.5
40    451    -6.41e+09   0:10.4
60    671    -6.23e+09   0:15.5
80    891    -6.12e+09   0:20.5
100   1111   -5.85e+09   0:25.7
120   1331   -5.21e+09   0:30.5
140   1551   -4.99e+09   0:35.5
160   1771   -4.73e+09   0:40.6
180   1991   -4.23e+09   0:45.2
200   2211   -3.29e+09   0:49.6
220   2431   -2.72e+09   0:54.6
240   2651   -2.01e+09   0:59.8
260   2871   -1.89e+09   1:05.1
280   3091   -1.89e+09   1:10.7
300   3311   -1.89e+09   1:16.1
320   3531   -1.88e+09   1:21.6
340   3751   -1.88e+09   1:26.4
360   3971   -1.87e+09   1:31.1
380   4191   -1.87e+09   1:35.8
400   4411   -1.86e+09   1:40.5
420   4631   -1.81e+09   1:45.5
440   4851   -1.73e+09   1:50.4
460   5071   -1.71e+09   1:55.5
480   5291   -1.7e+09    2:00.9
500   5511   -1.64e+09   2:07.0
520   5731   -1.61e+09   2:13.2
540   5951   -1.57e+09   2:18.2
560   6171   -1.55e+09   2:23.0
580   6391   -1.53e+09   2:27.9
600   6611   -1.51e+09   2:32.9
620   6831   -1.5e+09    2:38.3
640   7051   -1.48e+09   2:43.6
660   7271   -1.46e+09   2:48.5
680   7491   -1.44e+09   2:53.4
700   7711   -1.42e+09   2:58.5
720   7931   -1.4e+09    3:03.5
740   8151   -1.33e+09   3:09.0
760   8371   -1.26e+09   3:14.5
780   8591   -1.22e+09   3:19.3
800   8811   -1.21e+09   3:24.9
820   9031   -1.19e+09   3:30.3
840   9251   -1.04e+09   3:35.1
860   9471   -9.44e+08   3:39.8
880   9691   -8.19e+08   3:44.6
900   9911   -7.77e+08   3:49.4
920   10131  -7.21e+08   3:54.3
940   10351  -6.74e+08   3:59.3
960   10571  -5.91e+08   4:04.7
980   10791  -5.15e+08   4:10.1
1000  11011  -4.13e+08   4:15.9
1020  11231  -2.61e+08   4:21.6
1040  11451  -2.04e+08   4:26.7
1060  11671  -1.82e+08   4:32.0
1080  11891  -1.44e+08   4:37.7
1100  12111  -1.27e+08   4:43.2
1120  12331  -1.16e+08   4:48.9
1140  12551  -1.07e+08   4:53.8
1160  12771  -9.47e+07   4:58.8
1180  12991  -7.87e+07   5:04.0
1200  13211  -7.08e+07   5:09.4
1220  13431  -6.92e+07   5:14.4
1240  13651  -6.74e+07   5:19.4
1260  13871  -6.42e+07   5:24.5
1280  14091  -6.02e+07   5:29.9
1300  14311  -5.67e+07   5:35.5
1320  14531  -4.99e+07   5:40.9
1340  14751  -4.31e+07   5:45.9
1360  14971  -3.45e+07   5:51.1
1380  15191  -2.29e+07   5:57.0
1400  15411  -1.65e+07   6:02.5
1420  15631  -1.35e+07   6:08.3
1440  15851  -1.25e+07   6:13.7
1460  16071  -1.12e+07   6:18.8
1480  16291  -1e+07      6:24.4
1500  16511  -9509484    6:30.0
1520  16731  -9255535    6:36.3
1540  16951  -8874579    6:42.2
1560  17171  -8682953    6:47.7
1580  17391  -8505829    6:53.7
1600  17611  -8470621    7:00.6
1620  17831  -8424352    7:06.2
1640  18051  -8361067    7:12.0
1660  18271  -8290438    7:17.7
1680  18491  -8254536    7:23.1
1700  18711  -8245916    7:29.1
1720  18931  -8243340    7:34.7
1740  19151  -8242600    7:40.6
1760  19371  -8242014    7:46.3
1780  19591  -8241074    7:51.9
1800  19811  -8237281    7:57.6
1820  20031  -8232281    8:03.1
1840  20251  -8230623    8:08.1
1860  20471  -8230284    8:13.4
1880  20691  -8230273    8:19.1
1900  20911  -8230268    8:24.5
1920  21131  -8230259    8:29.8
1940  21351  -8230256    8:35.1
1960  21571  -8230255    8:40.4
1980  21791  -8230252    8:46.1
2000  22011  -8230251    8:52.4
2020  22231  -8230247    8:59.0
2040  22451  -8230247    9:04.9
2060  22671  -8230247    9:10.8
2080  22891  -8230247    9:18.0
2100  23111  -8230246    9:24.1
2120  23331  -8230246    9:30.4
2140  23551  -8230246    9:36.0
2160  23771  -8230246    9:41.8
2180  23991  -8230246    9:47.5
2200  24211  -8230245    9:53.3
2220  24431  -8230245    9:59.2
2240  24651  -8230245   10:05.2
2260  24871  -8230245   10:11.0
2280  25091  -8230245   10:17.0
2300  25311  -8230245   10:22.7
2320  25531  -8230245   10:28.1
2340  25751  -8230245   10:33.3
2360  25971  -8230245   10:38.5
2380  26191  -8230245   10:43.8
2400  26411  -8230245   10:48.9
2420  26631  -8230245   10:54.0
2440  26851  -8230245   10:59.3
2460  27071  -8230245   11:04.7
2480  27291  -8230245   11:10.4
2500  27511  -8230245   11:16.8
2520  27731  -8230245   11:23.6
2540  27951  -8230245   11:29.7
2550  28050  -8230245   11:32.7
